,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Ppp1r37,0.111330522,0.12242144,0.084123082,0.101575941,0.085791138,0.081712584,0.072885933,0.081066003,0.096905597,0.069652724,0.079174197,0.06012289,0.11142063,0.0779041,0.097610276
Zfp296,0.228976251,0.200029186,0.239794467,0.501943715,0.618431623,0.63224944,0.692818294,0.715928493,0.547873244,0.631174156,0.855373969,0.721435388,0.20937241,0.226578241,0.178656285
Apoe,1.325133095,1.272835188,1.17123092,0.853118458,1.027638723,1.149226352,0.323727026,0.056390482,0.095133983,0.343383104,0.106202829,0.121518974,0.751542489,0.243637563,0.182088926
Apoc2,0,0,0,0.002895813,0.000329739,0,0,0,0,0,0.000889968,0,0,0,0
Nectin2,0.002304125,0,0.000382084,0.002948654,0.000767443,0.001928608,0.010590449,0.006917673,0.006050704,0.007333234,0.006818134,0.003624784,0.000957426,0.003015029,0.000974889
Bcam,0.002889884,0,0.000434291,0.012767824,0.003489221,0.002836874,0.055062677,0.034241631,0.027035546,0.078986282,0.05061864,0.031058979,0.006529487,0.004421932,0.006925599
Tomm40,0.255810586,0.263451788,0.220361711,0.241176438,0.253249709,0.236442434,0.352169845,0.276643097,0.391863813,0.252844617,0.225152854,0.244473048,0.300970533,0.315937083,0.283170414
Apoc1,0.010991442,0.005861215,0.030494617,0.023907149,0.006125065,0.002414506,0.017853206,0.002374661,0,0.002787024,0,0,0,0,0
Gm19345,0.007835618,0.000978716,0.003564431,0.027694895,0.009716352,0.015723955,0.081050265,0.067805765,0.059505233,0.079114961,0.060730351,0.050041729,0.001701287,0.001555408,0.002598474
Ceacam16,0.003944053,0.006075844,0.004214838,0.033043457,0.026455648,0.016686142,0.152682449,0.162056466,0.202540932,0.185222185,0.182159258,0.13157675,0.009388044,0.003218646,0.008065632
Bcl3,0.248499113,0.219485284,0.26407925,0.207873904,0.266118637,0.280102243,0.820808914,1.006134894,0.876832107,0.956532276,1.265672154,1.124305158,0.434486549,0.461404431,0.448431025
Ceacam19,0.001429679,0,0.00264433,0.010883776,0.000796699,0.00031406,0.000290275,0,0.004620776,0,0.000716765,0.004631344,0.002650467,0.0024232,0
Pvr,0.151307783,0.15017218,0.15993935,0.082421742,0.08751287,0.087772496,0.136621499,0.116601877,0.130304683,0.169529313,0.121919132,0.132011338,0.135127655,0.11511774,0.114217152
Ceacam20,0.001622017,0,0.000503239,0.001664419,0.000884443,0,0,0.000587819,0.000412206,0.000689895,0.001250393,0.001591389,0.00140113,0.000896692,0.000160502
Igsf23,0,0.000461856,0.000480587,0.023665891,0.002895883,0.005422407,0.003692874,0.002245442,0,0.003294208,0.001736888,0.002571898,0.003746575,0.000978663,0.011649092
Vmn1r123,0.002909822,0,0,0.035996559,0.049186127,0.024928988,0.019200891,0,0,0,0,0.013615571,0,0,0
Vmn1r124,0.023278579,0,0,0.005142366,0.00702659,0.020774157,0,0,0,0,0,0.006807786,0,0,0.017851856
Vmn1r128,0.043647335,0,0.062969404,0.010284731,0,0.008309663,0.030721426,0,0,0,0,0,0,0,0
Vmn1r159,0.008786522,0,0,0.015527928,0,0.008363974,0,0.008225949,0.003845613,0,0,0,0.007842971,0.032267101,0
Nlrp5,0.000959659,0.000332631,0.000230748,0.002289534,5.79E-05,0.001233236,0,0.000134765,0.000252009,0.000158167,0.001511524,0.000392911,0.001477643,0.00017621,0.001324696
Vmn1r167,0.022689248,0,0,0.005012179,0,0.036446812,0,0,0,0,0.012323113,0,0.007594775,0,0
Vmn1r171,0,0,0.020445474,0.099178376,0.022586419,0.04370851,0,0,0.015630558,0,0.014778382,0.001989372,0.113849576,0.004163497,0.062600055
Vmn1r170,0.008815331,0,0,0.010385893,0.003547852,0.004195699,0.007755901,0.008252919,0,0,0,0,0,0,0.009013724
Vmn1r172,0.000265365,0,0.000638063,0.002813786,0.001601996,0.003789049,0,0,0.001045284,0,0,0.001241688,0.000355302,0,0.000407005
Vmn1r174,0,0.013190845,0.041177445,0.020176415,0.034461618,0.11818775,0,0,0,0,0.003100401,0.006677701,0.00764315,0,0
Vmn1r175,0,0,0,0.098665979,0.03902637,0.02936989,0,0,0.015432888,0,0.012767553,0.006874747,0,0,0.004506862
Vmn1r176,0.038199766,0,0,0.025964731,0.021287111,0.004195699,0,0,0,0.003228684,0,0,0,0,0
Vmn1r178,0.002938444,0,0.014130839,0.051929463,0,0.020978493,0,0,0.003858222,0,0.022343218,0.006874747,0.019671714,0,0.009013724
Vmn1r179,0.016596764,0,0,0.053772638,0,0.023697927,0,0.007768952,0,0,0.006009419,0.071187586,0,0,0
Zfp180,0.170400957,0.159477779,0.2044239,0.112570551,0.144503081,0.121170928,0.168404398,0.178903383,0.208065728,0.166326668,0.176095326,0.140978972,0.180345144,0.173686834,0.148225777
Vmn1r183,0.011689895,0,0,0.134282817,0.02822856,0.025037375,0,0,0.04604704,0,0.006349082,0.047861693,0.113475852,0,0
Zfp109,0.054236478,0.072459852,0.070868159,0.142703349,0.10042065,0.069179252,0.13143259,0.144390972,0.114506806,0.074824723,0.08245099,0.080605709,0.069194647,0.086655045,0.06481462
